,location,Changed,long,lat
574,Перт,Perth,115.8605801,-31.9558964
240,Thomas Street,Thomas Street,152.7454652,-27.6147802
614,Сан-Паулу,São Paulo,-46.6333824,-23.5506507
518,Масерата,Maserata,-46.4371665,-23.5041778
247,Trindade,Trindade,-49.4876203,-16.6549924
218,Sofia,Sofia,48.2562163,-15.2538402
636,София,Sofia,48.2562163,-15.2538402
307,Баркарена,Barcarena,-48.6190679,-1.5107945
255,Vác,Vac,-76.12335581641676,4.0638178
139,Malabe,Malabe,79.9546189,6.9040723
435,Каракас,Caracas,-66.9146017,10.506098
578,Пизанская область,Pisa Region,120.9365344,13.6398354
283,Алмера,Mr Almera,120.8881219,14.4080383
206,São Martinho,Sao martinho,-63.0549948,18.0423736
682,Ханой,Hanoi,105.8544441,21.0294498
699,Шэньчжэнь,Shenzhen,114.0545429,22.5445741
116,Koila,Koila,77.7127576,27.4203096
473,Лас-Пальмас-де-Гран-Канария,Las Palmas de Gran Canaria,-15.4349015,28.1288694
616,Санкт-Августин,St. Augustine,-81.3145395,29.8946952
692,Чэнду,Chengdu,104.0633717,30.6598628
694,Шанхай,Shanghai,121.4692071,31.2322758
707,Эпс,Epps,-91.4778953,32.6040264
311,Бейрут,Beirut,35.50255852895232,33.88922645
497,Лос-Анджелес,Los Angeles,-118.242766,34.0536909
486,Лимассол,Limassol,33.0332657,34.6852901
472,Ларнака,Larnaca,33.6236184,34.9236095
446,Кипр Онлайн,Latsia,33.3815988,35.0995648
154,Nicosia,Nicosia,33.3638568,35.1748976
420,Ираклион,Heraklion,25.1343475,35.3400127
600,Ренд,Rand,-117.6925619,35.4219055
458,Коспикуа,Cospicua,14.522721,35.8825817
512,Мальта Онлайн,Malta,14.4476911,35.8885993
342,Валлетта,Valletta,14.5136759,35.8989818
319,Биркиркара,Birkirkara,14.4649578,35.8994547
383,Гибралтар,Gibraltar,-5.3541295,36.140807
514,Марбелья,Marbella,-4.88562,36.508976
188,Puerto Real,Puerto Real,-6.1902161,36.5286856
427,Кадис,Cadiz,-6.2928976,36.5297438
510,Малага,Malaga,-4.4216366,36.7213028
661,Турецкая Республика Северного Кипра,Mersin,34.6298391,36.7978381
291,Анталия,Antalya,30.6954846,36.9009641
671,фараон,Faro,-7.9351771,37.0162727
373,Газиантеп,Gaziantep,37.3792617,37.0628317
392,Гранада,Granada,-3.5995337,37.1734995
14,Atarfe,Atarfe,-3.6865662,37.2226964
670,Уэльва,Huelva,-6.9484945,37.2575874
624,Севилья,Seville,-5.9953403,37.3886303
204,Sant'Agata li Battiati,Sant'Agata li Battiati,15.080120555889422,37.555549150000004
168,Pamukkale,Pamukkale,29.119010193161458,37.92447225
683,Хаэн,Jaen,-3.492055612037218,37.9557275
277,Zografou,Zografou,23.770726,37.9773935
298,Афины,Athens,23.7283052,37.9839412
529,Мурсия,Murcia,-1.1305431,37.9923795
18,Beja,Beja,-7.8650368,38.0154479
44,Chalandri,Chalandri,23.7984139,38.0215202
223,Sovetsky,Sovetsky,69.5890981,38.0494688
597,Реджио Калабрия,Reggio Calabria,15.6397556,38.1035389
565,Палермо,Palermo,13.3524434,38.1112268
8,Alicante,Alicante,-0.4881708,38.3436365
416,Измир,Izmir,27.1310699,38.4224548
4,Aksaray,Aksaray,33.8976963,38.4326291
211,Setúbal Municipality,Setubal,-8.8932341,38.5241783
72,Evora,Evora,-7.9092808,38.5707742
1,9,Lisbon,-9.1365919,38.7077507
493,Лиссабон,Lisbon,-9.1365919,38.7077507
153,Nevşehir,Nevsehir,34.7194168,38.7235072
9,Almadén,Almaden,-4.832835,38.7742489
49,Ciudad Real,Ciudad Real,-3.8828744402485436,38.959734749999996
5,Albacete,Albacete,-1.8559154,38.9950921
158,Northside,Northside,-84.5398743,39.1634176
181,Portalegre,Portalegre,-7.7214964428011115,39.207609700000006
434,Кальяри,Cagliari,9.1128513,39.2169525
205,Santarém,Santarem,-8.6867081,39.2363637
341,Валенсия,Valencia,-0.3763353,39.4697065
340,Валенсийское Сообщество,Valencia,-0.3763353,39.4697065
69,Eskişehir,Eskisehir,31.0723476,39.6821156
476,Лейрия,Leiria,-8.8071119,39.7437902
178,Pollentia,Pollentia,3.1291571,39.849972
242,Toledo,Toledo,-4.0239568,39.8560679
102,Iğdır,Igdir,43.9427459,39.8945292
289,Анкара,Ankara,32.8540482,39.9207886
263,Vila Real,Vila Real,-0.1004465,39.9372616
438,Кастельон-де-ла-Плана,Castellón de la Plana,-0.0377354,39.9860347
59,Cuenca,Cuenca,-2.1348241,40.0681156
127,Lecce,Lecce,18.2260628338229,40.152217300000004
408,Ереван,Yerevan,44.5126174,40.1776245
58,Covilha,Covilha,-7.5043211,40.2805658
84,Getafe,Getafe,-3.7302679,40.3081807
359,Вильявисиоса де Одон,Villaviciosa de Odon,-3.9002334,40.3573787
509,Мадрид,Madrid,-3.7035825,40.4167047
634,Сообщество Мадрида,Madrid,-3.7035825,40.4167047
422,Испания онлайн,Madrid,-3.7035825,40.4167047
136,Madrid,Madrid,-3.7035825,40.4167047
266,Villanueva de la Cañada,Villanueva de la canada,-4.002795,40.4472106
285,Алькала де Энарес,Alcalá de Henares,-3.3644973,40.4818396
125,Las Rozas de Madrid,Las Rozas de Madrid,-3.8758396,40.4933095
52,Community of Madrid,Community of Madrid,-3.771562775451811,40.5248319
6,Alcobendas,Alcobendas,-3.6358494,40.5400082
282,Алкобендас,Alcobendas,-3.6358494,40.5400082
612,Салоники,Thessaloniki,22.9352716,40.6403167
51,Collado Villalba,Collado Villalba,-3.9930128,40.6431496
363,Висеу,Viseu,-7.9138664,40.6574713
541,Нью-Йорк,New York,-74.0060152,40.7127281
76,Fisciano,Fisciano,14.799443,40.772812
490,Линкольн,Lincoln,-96.7077751,40.8088861
533,Неаполь,Naples,14.2487679,40.8358846
50,Clifton,Clifton,-74.1637553,40.8584328
611,Саламанка,Salamanca,-5.6640182,40.9651572
638,Стамбул,Istanbul,28.9662187,41.0091982
561,Охрид,Ohrid,20.8017387,41.1170203
236,Tarragona,Tarragona,1.2546057,41.1172364
586,Порту,Porto,-8.6107884,41.1494512
601,Реус,Reus,1.1076133,41.1555564
644,Струга,Struga,20.6790586,41.1770278
210,Senhora da Hora,Senhora da Hora (?),-8.6513544,41.1853221
43,Caserta,Caserta,14.117057688141852,41.20348345
21,Benevento,Benevento,14.705941329939769,41.2476884
654,Тирана,Tirana,19.8184435,41.3281482
224,Spain Online,Barcelona,2.1774322,41.3828939
309,Барселона,Barcelona,2.1774322,41.3828939
16,Barcelona,Barcelona,2.1774322,41.3828939
238,Terrassa,Barcelona,2.1774322,41.3828939
20,Bellaterra,Bellaterra,2.0800563,41.5025932
262,Vila Frescainha,Vila Frescainha,-8.645383869347837,41.5290662
196,Sabadell,Sabadell,2.1138977,41.5421013
480,Лерида,Lleida,0.6267842,41.6147605
348,Вассал,Vassal,-7.344058525587666,41.61693175
343,Вальядолид,Valladolid,-4.728562,41.6521328
620,Сарагоса,Zaragoza,-0.8809428,41.6521342
147,Municipality of Manresa,Manresa,1.8286765,41.7288939
29,Bragança,Braganza,-6.7589839,41.8071182
604,Рим,Rome,12.4829321,41.8933203
86,Girona,Girona,2.8199439,41.9793006
632,Скопье,Skopje,21.4316495,41.9960924
38,Burgas,Burgas,-3.681247658403683,42.34484975
433,Кальве,Calve,-8.0864708,42.3764082
227,Stara Zagora,Stara Zagora,25.6257479,42.4248111
494,Логроньо,Logroño,-2.4396676,42.4661196
122,La Massana,La Massana,1.5163754,42.5442014
582,Понферрада,Ponferrada,-6.5938719,42.5454124
431,Как,Ås,25.4856617,42.6073975
13,Ås Municipality,Ås,25.4856617,42.6073975
573,Перник,Pernik,22.882311866811484,42.628442
479,Леон,Leon,-5.971415104539984,42.63414505
404,Дубровник,Dubrovnik,18.0924947,42.6502473
566,Памплона,Pamplona,-1.6442556,42.8184538
326,Браттлеборо,Brattleboro,-72.5572913,42.8507588
619,Сантьяго де Компостела,Santiago de Compostela,-8.5458608,42.8804219
80,Gabrovo,Gabrovo,25.211953846464205,42.9638895
366,Владикавказ,Vladikavkaz,44.68211,43.024593
163,Oñati,Onati,-2.4137149,43.0328523
134,Lugo,Lugo,-7.4739921,43.0462247
12,Arrasate,Mondragón,-2.4900779,43.0656783
575,Перуджа,Perugia,12.402996209906487,43.1070321
660,Тулон,Toulon,5.9304919,43.1257311
40,Camerino,Camerino,13.0683092,43.1357641
608,Рочестер,Rochester,-77.615214,43.157285
216,Siena,Siena,11.467181161339118,43.1672254
346,Варна,Varna,27.9166653,43.2073873
259,Veliko Tarnovo,Veliko Tarnovo,25.611409300395785,43.2164885
318,Бильбао,Bilbao,-2.9350039,43.2630018
100,Hernani,Hernani,-1.9747419,43.2661107
170,Pau,Pau,-0.3685668,43.2957547
517,Марсель,Marseille,5.3699525,43.2961743
397,Грозный,Grozny,45.6934308,43.3197031
615,Сан-Себастьян,San Sebastian,-1.9838889,43.3224219
131,Leioa,Leioa,-2.9846079,43.3271048
544,Овьедо,Oviedo,-5.8450534,43.3604218
457,Корунья,Coruna,-8.3959425,43.3709703
290,Анкона,Ancona,13.218790609151764,43.480120400000004
11,Anglet,Anglet,-1.5149935,43.4813927
673,Феррол,Ferrol,-8.233162,43.4846862
302,Байон,Bayonne,-1.475099,43.4933379
703,Экс-ан-Прованс,Aix-en-Provence,5.4474738,43.5298424
41,Cannes,Cannes,7.0134418,43.5515198
244,Toulouse,Toulouse,1.4442469,43.6044622
526,Монпелье,Montpellier,3.8767337,43.6112422
219,Sophia Antipolis,Sophia Antipolis,7.0518158,43.6195225
590,Приятно,Nice,7.2683912,43.7009358
674,Флоренция,Florence,11.2555757,43.7698712
621,Сараево,Sarajevo,18.3866868,43.8519774
284,Альби,Albi,2.147899,43.9277552
605,Римини,Rimini,12.630768610516004,43.9470982
119,Kragujevac,Kragujevac,20.91925,44.0130251
274,Zadar,Zadar,15.2353257,44.1168594
690,Чезена,Cesena,12.2422442,44.136352
55,Constanţa,Constanta,28.6507598,44.1767161
677,Форли,Forli,12.041273,44.2227278
594,равенна,Ravenna,12.059009490863945,44.364060699999996
379,Генуя,Genoa,8.9338624,44.40726
35,Bucharest,Bucharest,26.1027202,44.4361414
338,Бухарест,Bucharest,26.1027202,44.4361414
209,Sector 2,Bucharest ,26.1027202,44.4361414
322,Болонья,Bologna,11.3426327,44.4938203
140,Maranello,Maranello,10.8663607,44.5255217
687,Херес,Sherry,-89.915647,44.5835319
428,Каен,Mr Kaen,-84.73819,44.661473
75,Ferrara,Ferrara,11.827938995640167,44.766764249999994
306,Баня Лука,Banja Luka,17.1917651,44.7720845
569,Парма,Parma,10.3280833,44.8013678
173,Pessac,Pessac,-0.6308396,44.805615
312,Белград,Belgrade,20.4568974,44.8178131
324,Бордо,Bordeaux,-0.5800364,44.841225
593,Пьяченца,Piacenza,9.666531257696896,44.8476352
176,Piteşti,Pitesti,24.8719422,44.8572343
637,Ставрополь,Stavropol,43.4406913,44.8632577
562,Павия,Pavia,9.137825082826026,45.036854649999995
662,Турин,Turin,7.6824892,45.0677551
45,Chavannes-près-Renens,Chavannes,4.92539,45.1045
200,Saint-Martin-d'Hères,saint martin d'heres,5.75448,45.1836683
395,Гренобль,Grenoble,5.7357819,45.1875602
225,Sremska Kamenica,Sremska Kamenica,19.8419217,45.2223202
303,Байот,Bayot,0.7705537,45.2395844
538,Нови Сад,Novi Sad,19.8451756,45.2551338
250,Tula,Tula,1.7706797,45.2678347
603,Риека,Rijeka,14.4412309,45.3271752
564,Падуя,Padua,11.8734455,45.4077172
374,Галац,Galati,28.0549395,45.4338215
354,Венеция,Venice,12.3345898,45.4371908
260,Verona,Verona,10.9924122,45.4384958
199,Saint-Étienne,saint etienne,4.3873058,45.4401467
521,Милан,Milan,9.1896346,45.4641943
584,Портленд,Portland,-122.6741949,45.5202471
555,Осиек,Osijek,18.6953685,45.5548793
693,Шамбери,Chambéry,5.9203636,45.5662672
193,Roncade,Roncade,12.3747797,45.6279075
261,Vicenza,Vicenza,11.40635425660249,45.63485905
656,Триест,Trieste,13.7772781,45.6496485
327,Брашов,Brasov,25.6102746,45.6523093
653,Тимишоара,Timisoara,21.2257474,45.7538355
492,Лион,Lyon,4.8320114,45.7578137
451,Клермон-Ферран,Clermont-Ferrand,3.0819427,45.7774551
31,Brescia,Brescia,10.4258729694612,45.77958045
48,City of Zagreb,City of Zagreb,15.971448808267374,45.791544200000004
246,Treviso,Treviso,12.206315763116372,45.806691349999994
412,Загреб,Zagreb,15.9771774,45.8131847
488,Лимож,Limoges,1.2644847,45.8354243
345,Варезе,Varese,8.754157594917665,45.83971285
212,Sfântu Gheorghe,Sfantu Gheorghe,25.7865367,45.8659935
142,Mendrisio,Mendrisio,8.9875293,45.8709661
643,Стреза,Stresa,8.5390268,45.8837277
194,Rovereto,Rovereto,11.0452369,45.886548
478,Лекко,Lecco,9.41202482143963,45.9005485
53,Como,Como,9.149410145408947,45.939475900000005
220,Sorengo,Sorengo,8.9351621,46.0005701
498,Лугано,Lugano,8.9520281,46.0050102
371,Гаага,Hague,-99.9982432,46.0281748
504,Любляна,Ljubljana,14.5069289,46.0500268
665,Удине,Udine,13.2358377,46.0634632
577,Печ,Pecs,18.2280397,46.0765883
245,Trento,Trento,11.129840331695068,46.1030443
695,Швейцария онлайн,Geneva,6.1466014,46.2017559
411,Женева,Geneva,6.1466014,46.2017559
625,Сегед,Szeged,20.1486016,46.2546312
330,Бриг,Brig,8.02942282014046,46.2845584
462,Кран-Монтана,Crans-Montana,7.526435803722132,46.3304899
477,Лейсин,Leysin,7.0148403,46.3438701
583,Порт-Вале,Port Valais,6.862287669574162,46.3720663
146,Montreux,Montreux,6.9129921,46.4310831
123,La Tour-de-Peilz,La Tour-de-Peilz,6.8569063,46.4537524
495,Лозанна,Lausanne,6.6327025,46.5218269
516,Марибор,Maribor,15.6455854,46.5576439
592,Пуатье,Poitiers,0.340196,46.5802596
265,Villach,Villach,13.8500268,46.6167284
450,Клагенфурт,Klagenfurt,14.3079604,46.6228162
2,20,Vaud,6.5320717,46.6356963
545,одеколон,Сologne,2.7060454,46.6467925
25,Bolzano,Bolzano,11.229637264169462,46.65594215
37,Bună Ziua,Cluj-Napoca,23.5899542,46.769379
467,Кур,Chur,9.5264904,46.854747
316,Берн,Berne,7.4514512,46.9482713
534,Невер,Nevers,3.1577203,46.9876601
535,Невшатель,Neuchatel,6.9292641,46.9895828
448,Кишинев,Kishinev,28.8322923,47.0245117
506,люцерна,Lucerne,8.3054682,47.0505452
164,Oradea,Oradea,21.9285231,47.0549163
394,Грац,Graz,15.4382786,47.0708678
278,Zug,Zug,8.5539378,47.1486137
712,Яссы,Iasi,27.5836142,47.1615341
234,Taganrog,Taganrog,38.9285216,47.2153657
531,Нант,Nantes,-1.5541362,47.2186371
268,Wädenswil,Wadenswil,8.6701365,47.2278988
310,Безансон,Besançon,6.0243622,47.2380222
606,Ростов-на-Дону,Rostov-on-Don,39.72490856518773,47.2610441
201,Saint-Nazaire,Saint Nazaire,-2.2138905,47.2733517
62,Dijon,Dijon,5.0414701,47.3215806
279,Zürich,Zurich,8.5410422,47.3744489
705,Экскурсии,Tours,0.6889268,47.3900474
617,Санкт-Галлен,St. Gallen,9.3765878,47.4250593
198,Saint-Barthélemy-d'Anjou,saint barthelemy d anjou,-0.4932941,47.4683081
288,Анжер,Angers,-0.5515588,47.4739884
596,Район В.,Budapest,19.0403594,47.4979937
335,Будапешт,Budapest,19.0403594,47.4979937
36,Budapest,Budapest,19.0403594,47.4979937
271,Winterthur,Winterthur,8.7291498,47.4991723
239,Therwil,Therwil,7.5574673,47.4992969
149,Muttenz,Muttenz,7.6477401,47.525113
398,Дебрецен,Debrecen,21.6259782,47.531399
301,Базель,Basel,7.5878261,47.5581077
468,Куфштайн,Kufstein,12.1692134,47.582996
88,Gödöllő,Godollo,19.3476981,47.601529
79,Friedrichshafen,Friedrichshafen,9.4800858,47.6500279
454,Констанц,Konstanz,9.1750718,47.659216
696,Шопрон,Sopron,16.5983457,47.6803063
207,Schaffhausen,Schaffhouse,8.634513,47.6960491
413,Зальцбург,Salzburg,13.0464806,47.7981346
360,Винер Нойштадт,Wiener Neustadt,16.23325959462936,47.80708635
166,Orléans,Orleans,1.9086066,47.9027336
78,Freiburg,Freiburg,7.8494005,47.9960901
228,Steyr,Steyr,14.4191276,48.0390046
126,Laval,Laval,-0.7734022,48.0706687
24,Biberach,Biberach,9.7931144,48.101927
524,Мишкольц,Miskolc,20.7900429,48.1030643
191,Rennes,Rennes,-1.6800198,48.1113387
631,Сесон-Севинье,Cesson-Sévigné,-1.6038829,48.1197799
530,Мюнхен,Munich,11.5753822,48.1371079
192,Riedlingen,Riedlingen,9.4748796,48.1534412
659,Труа,Troyes,4.0746257,48.2971626
491,Линц,Linz,14.286198,48.3059078
297,Аугсбург,Augsburg,10.8986971,48.3668041
248,Trnava,Trnava,17.5858175,48.3767652
329,Брест,Brest,-4.4860088,48.3905283
676,Фонтенбло,Fontainebleau,2.7015872,48.4049375
463,Кремс-на-Дунае,Krems an der Donau,15.60631866409324,48.409809300000006
174,Pfarrkirchen,Pfarrkirchen,12.9386266,48.4320329
560,Оффенбург,Offenburg,7.944378,48.4716556
107,Kamianske,Kamianske,34.6068797,48.5167748
664,Тюбинген,Tubingen,9.0535531,48.5236164
570,Пассау,Passau,13.4609744,48.5748229
642,Страсбург,Strasbourg,7.7507127,48.584614
254,Uzhhorod,Uzhhorod,22.3022569,48.6223732
56,Courcouronnes,Courcouronnes,2.411893948759139,48.622557
73,Évry-Courcouronnes,Evry-Courcouronnes,2.4345980281360133,48.6284131
417,Иль-де-Франс,Ile-de-France,2.7537863,48.6443057
543,Нэнси,Nancy,6.1834097,48.6937223
85,Gif-sur-Yvette,Gif-sur-Yvette,2.134529,48.7018823
367,Волгоград,Volgograd,44.5153353,48.7081906
167,Palaiseau,Palaiseau,2.2453842,48.7144587
460,Кошице,Kosice,21.2496774,48.7172272
305,Банска Быстрица,Banská Bystrica,19.1573494,48.7384028
300,Баден-Баден,Baden-Baden,8.2415239,48.7580777
418,Ингольштадт,Ingolstadt,11.4250395,48.7630165
698,Штутгарт,Stuttgart,9.1800132,48.7784485
353,Вена,Vein,-87.56915054232508,48.79100325
399,Деггендорфа,Deggendorf,12.96205,48.8333535
337,Булонь-Бийанкур,Boulogne-Billancourt,2.240206,48.8356649
280,Аалена,Aalen,10.0931765,48.8362705
680,Франция онлайн,Paris,2.3200410217200766,48.8588897
568,Париж,Paris,2.3200410217200766,48.8588897
230,Straubing,Straubing,12.569716,48.8819801
65,Dubnica nad Váhom,Dubnica nad Váhom,18.1662967,48.9574049
267,Villetaneuse,Villetaneuse,2.3439698,48.9611722
109,Karlsruhe,Karlsruhe,8.4034195,49.0068705
410,железа,Gland,3.4630556,49.0488889
