,location,Changed,long,lat
232,Switzerland Online,Gland,3.4630556,49.0488889
98,Heilbronn,Heilbronn,9.218655,49.142291
684,Хейльбронна,Heilbronn,9.218655,49.142291
630,Сержи,Sergy,3.5710256,49.1828833
332,Брно,Brno,16.6113382,49.1922443
469,Ландо,Landau,8.1123441,49.1982825
276,Žilina,Zilina,18.7393139,49.2234674
333,Брно-Север,Brno-Sever,16.64661005429616,49.22442715
599,Реймс,Reims,4.031926,49.2577886
91,Hagenberg,Hagenberg,12.7138315,49.3039689
610,Саар,Saarland,6.9537369,49.3841872
97,Heidelberg,Heidelberg,8.694724,49.4093582
54,Compiègne,Compiegne,2.8263171,49.4179497
321,Бове,Beauvais,2.0823355,49.4300997
609,Руанский,Rouen,1.0939658,49.4404591
430,Кайзерслаутерн,Kaiserslautern,7.7689951,49.4432174
10,Amberg,Amberg,11.858728,49.4454211
525,Мон-Сен-Эньян,Mont-Saint-Aignan,1.0813,49.4679
372,Гавр,Le Havre,0.1079732,49.4938975
710,Эш-сюр-Alzette,Esch-sur-Alzette,5.9850306,49.4959628
550,Оломоуц,Olomouc,17.251143,49.5940567
540,Новы Сонч,Nowy Sącz,20.714936589668028,49.61030395
177,Podkarpacka,Podkarpacka,21.7627856,49.6840799
423,испытательный прибор,Trier,6.6441878,49.7596208
370,Вюрцбург,Wurzburg,9.932966,49.79245
390,Город Люксембург,Luxembourg,6.1296751,49.8158683
558,Острава,Ostrava,18.2820084,49.8349139
501,Львов,Lviv,24.0315921,49.841952
110,Karvina,Karvina,18.5416556,49.8542719
581,Полтава,Poltava,33.7498787,49.8607809
287,Амьен,Amiens,2.2956951,49.8941708
304,Байройт,Bayreuth,11.5763079,49.9427202
137,Mainz,Mainz,8.2762513,50.0012314
161,Oestrich-Винкель,Oestrich-Winkel,8.0167585,50.0071863
567,Пардубице,Pardubice,15.7791356,50.0385812
461,Краков,Krakow,19.997153435836697,50.0469432
588,Прага,Prague,14.446459273258009,50.0596288
183,Prague 1,Prague,14.446459273258009,50.0596288
184,Prague 6,Prague,14.446459273258009,50.0596288
589,Прага 6,Prague,14.446459273258009,50.0596288
362,Висбаден,Wiesbaden,8.2416556,50.0820384
679,Франкфурт,Frankfurt,8.6820917,50.1106444
185,Praha-Suchdol,Praha-Suchdol,14.3804611,50.135806
675,Фолмаут,Falmouth,-5.0688262,50.1552197
74,Falmouth,Falmouth,-5.0688262,50.1552197
171,Penryn,Penryn,-5.105696473216783,50.170186
391,Градец Кралове,Hradec Králové,15.8327512,50.2092113
439,Катовице,Katowice,19.00588775660632,50.2137321
388,гобелен,Arras,2.7772211,50.291048
179,Pomorska,Pomorska,19.5536115,50.2924091
387,Гливице,Gliwice,18.662347227971978,50.30113145
60,Dabrowa Gornicza,Dabrowa Gornicza,19.2078918,50.3308692
579,Плимут,Plymouth,-4.1425658,50.3712659
63,Douai,Douai,3.078171805106893,50.3799863
256,Vallendar,Vallendar,7.6142479,50.4001381
143,Mlada Boleslav,Mlada Boleslav,14.9031301,50.4116187
243,Totnes,Totnes,-3.6871525,50.4322816
145,Montabaur,Montabaur,7.8302494,50.4362219
444,Киев,Kiev,30.5241361,50.4500336
527,Монс,Mons,3.951958,50.4549568
101,Huy,Huy,5.2408138,50.5180856
217,Śląska,Silesia,19.2343995,50.5687422
19,Belgorod,Belgorod,36.5873394,50.5955595
595,Райнбах,Rheinbach,6.9491436,50.6256808
485,Лилль,Lille,3.0635282,50.6365654
15,Bad Honnef,Bad Honnef,7.2272534,50.6448582
299,Бад Хоннеф,Bad Honnef,7.2272534,50.6448582
553,Ополе,Opole,17.929884436033525,50.678792900000005
208,Schmalkalden,Schmalkalden,10.4510467,50.7213643
704,Эксетер,Exeter,-3.5269497,50.7255794
323,Бонн,Bonn,7.10066,50.735851
180,Poole,Poole,-1.9537512539581008,50.74020055
481,Либерец,Liberec,15.0583947,50.7702648
222,Southsea,Southsea,-1.0886623,50.7888796
585,Портсмут,Portsmouth,-1.075614,50.8036831
182,Portsmouth,Portsmouth,-1.075614,50.8036831
691,Ченстохова,Czestochowa,19.1244089281233,50.8089997
515,Марбург,Marburg,8.7757742,50.8117327
33,Brühl,Bruhl,6.9037057,50.8291313
32,Brighton,Brighton,-0.12693017575934035,50.8389149
334,Брюссель,Brussels,4.351697,50.8465573
407,Еленя Гура,Jelenia Góra,15.653749235408073,50.8501049
507,Маастрихт,Maastricht,5.6909768,50.8512438
114,Kielce,Kielce,20.609914352101452,50.85403585
415,Зиген,Siegen,8.0227233,50.8749804
475,Левен,Leuven,4.7011675,50.879202
623,Саутгемптон,Southampton,-1.404189,50.9025349
61,Diepenbeek,Diepenbeek,5.4200307,50.9078485
678,Фрайберг,Freiberg,13.3428889,50.9169415
106,Jena,Jena,11.5879359,50.9281717
94,Hasselt,Hasselt,5.3378043,50.9303735
68,Erfurt,Erfurt,11.0287364,50.9777974
349,Веймар,Weimar,11.3296637,50.9810486
402,Дрезден,Dresden,13.7381437,51.0493286
378,Гент,Ghent,3.7250121,51.0538286
17,Beerzel,Beerzel,4.6698925,51.0586177
361,Винчестер,Winchester,-1.3131692,51.0612766
203,Salisbury,Salisbury,-1.7954134,51.0690613
369,Вроцлаве,Wroclaw,16.97819633051261,51.1263106
128,Legnica,Legnica,16.174675034638256,51.204768900000005
672,Фарнхем,Farnham,-0.7984854,51.2151749
503,Люблин,Lublin,22.554677562145155,51.218194499999996
292,Антверпен,Antwerp,4.3997081,51.2211097
385,Гилфорд,Guildford,-0.5732063,51.2356068
443,Кентербери,Canterbury,1.0802533,51.2800275
449,Клавертон Даун,Claverton Down,-2.3276287,51.3686485
344,ванна,Bath,-2.3596963,51.3813864
384,Гиллингхэм,Gillingham,0.5457712,51.3876562
355,Венло,Venlo,6.1511724144122955,51.39244885
121,L&#39;Aquila,L&#39;Aquila,5.3922305,51.4086153
189,Radom,Radom,21.160944780832743,51.41716055
214,Sidcup,Sidcup,0.101044,51.4264002
67,Egham,Egham,-0.5473085,51.4312585
365,Виттен,Witten,7.335124,51.4370171
702,Эйндховен,Eindhoven,5.478633,51.4392648
650,Твикенхем,Twickenham,-0.3281887,51.4467444
71,Essen,Essen,7.0158171,51.4582235
331,Бристоль,Bristol,-2.5790334025708415,51.47091115
436,Кардифф,Cardiff,-3.1791934,51.4816546
325,Бохум,Bochum,7.2196635,51.4818111
221,South Kensington,South Kensington,-0.1730439,51.4940494
112,Kensington,Kensington,-0.1991229,51.4989948
350,Великобритания онлайн,London,-0.1276474,51.5073219
496,Лондон,London,-0.1276474,51.5073219
639,Сток Гиффорд,Stoke Gifford,-2.5437405,51.5182774
270,Whitechapel,Whitechapel,-0.0620807,51.5186227
697,Шордич,Shoreditch,-0.0798926,51.5266694
382,Гёттинген,Göttingen,9.9351811,51.5328328
645,Суиндон,Swindon,-1.7856853,51.5613683
652,Тилбург,Tilburg,5.066061908648313,51.585618749999995
99,Hendon,Hendon,-0.22162,51.5897442
317,Биконсфильд,Beaconsfield,-0.6571233,51.6082881
647,Суонси,Swansea,-3.9459248,51.6195955
681,Хай Уиком,High Wycombe,-0.7484153,51.627422
368,Воронеж,Voronezh,39.2005858,51.6605982
688,Хертогенбос,'s-Hertogenbosch,5.303116,51.6889387
629,Серенстер,Cirencester,-1.998401828395604,51.71671015
563,Падерборн,Paderborn,8.764869778177559,51.71895955
120,Kursk,Kursk,36.179604,51.739433
269,Wheatley,Wheatley,-1.134428637684729,51.7420975
548,Оксфорд,Oxford,-1.2578499,51.7520131
95,Headington,Headington,-1.2109831,51.760214
689,Хэтфилд,Hatfield,-0.2250938620703163,51.7653576
165,Orenburg,Orenburg,55.097118,51.767452
252,Ulan-Ude,Ulan-Ude,107.5839105,51.8357841
536,Неймеген,Nijmegen,5.838960628748229,51.842574850000005
591,пробковый,Cork,-8.4654674,51.897077
607,Роттердам,Rotterdam,4.47775,51.9244424
148,Münster,Minster,7.6251879,51.9625101
294,Арнем,Arnhem,5.9108573,51.984257
351,Велп,Velp,5.9751252,51.9958671
47,Chita,Chita,113.500893,52.033409
522,Милтон Кейнс,Milton Keynes,-0.7589607,52.0429797
419,Ипсвич,Ipswich,1.1526345,52.0579495
465,Крэнфилдский,Cranfield,-0.6079317,52.0690205
668,Утрехт,Utrecht,5.12768396945229,52.080985600000005
508,Магдебург,Magdeburg,11.6399609,52.1315889
519,Мёккерн,Möckern,11.9532769,52.1405163
130,Leiden,Leiden,4.4811088666204295,52.1518157
215,Siedlce,Siedlce,22.281253302988254,52.161593800000006
293,Апельдорн,Apeldoorn,5.930077460807249,52.17957375
442,Кембридж,Cambridge,0.1186637,52.2055314
706,Энсхеде,Enschede,6.8940537,52.2209855
347,Варшава,Warsaw,21.0067249,52.2319581
352,Вельс,Wels,-3.73893,52.2928116
0,1,Wildau,13.6338248,52.3194124
286,Амстердам,Amsterdam,4.8936041,52.3727598
376,Ганновер,Hanover,9.7385532,52.3744779
580,Познань,Poznan,16.91973259178088,52.4006632
587,Потсдам,Potsdam,13.0591397,52.4009309
57,Coventry,Coventry,-1.510477,52.4081812
452,Ковентри,Coventry,-1.510477,52.4081812
281,Абериствит,Aberystwyth,-4.0816846,52.4143113
320,Бирмингем,Birmingham,-1.9026911,52.4796992
571,Пафос,Pathos,13.6017837,52.4824772
414,Зволле,Zwolle,6.0943765,52.5089759
315,Берлин,Berlin,13.3888599,52.5170365
23,Berlin,Berlin,13.3888599,52.5170365
380,Германия онлайн,Berlin,13.3888599,52.5170365
108,Kampen,Kampen,5.9033303,52.5559484
83,Germany Online,Germany Online,13.0512418,52.5690022
135,Machynlleth,Machynlleth,-3.8548131,52.5951801
272,Yelets,Yelets,38.529041768138626,52.6150528
159,Norwich,Norwich,1.2923049,52.6285694
129,Leicester,Leicester,-1.1330789,52.6361398
487,Лимерик,Limerick,-8.6301239,52.661252
651,Телфорд,Telford,-2.4514273,52.6780419
141,Markfield,Markfield,-1.285817146518564,52.690635349999994
235,Tambov,Tambov,41.45536,52.72879
474,Лафборо,Loughborough,-1.2077985,52.7723859
96,Heide,Heide,9.6601426,52.8217435
622,Саттон Бонингтон,Sutton Bonington,-1.2505311,52.8220878
152,Neuruppin,Neuruppin,12.8092919,52.9243859
160,Nottingham,Nottingham,-1.1496461,52.9534193
640,Сток-он-Трент,Stoke-on-Trent,-2.1812607,53.0162014
328,бремен,Bremen,8.8071646,53.0758196
30,Bremen,Bremen,8.8071646,53.0758196
39,Bydgoszcz,Bydgoszcz,18.029369658534854,53.12974625
313,Белосток,Bialystok,23.1591679,53.132398
551,Ольденбург,Oldenburg,8.2146017,53.1389753
175,Pila,Pila,16.7380343,53.1511324
133,Lomza,Lomza,22.052183817808846,53.18243065
613,Самара,Samara,50.113987,53.198627
172,Penza,Penza,45.0,53.200001
89,Groningen,Groningen,6.5680077,53.2190652
34,Bryansk,Bryansk,34.3668288,53.2423778
505,Люнебург,Lüneburg,10.407855,53.248706
81,Galway,Galway,-9.0490601,53.2744122
241,Tipperstown,Tipperstown,-6.1998542344059455,53.274991850000006
523,Митрополит Виррал,Wirral,-3.0500916,53.3409714
64,Dublin Docklands,Dublin Docklands,-6.235744507734944,53.34395565
308,Барнаул,Barnaul,83.7784496,53.347402
403,Дублин,Dublin,-6.2602732,53.3497645
393,Графство Дублин,Dublin,-6.2602732,53.3497645
213,Sheffield,Sheffield,-1.4702278,53.3806626
482,Ливерпуль,Liverpool,-2.99168,53.4071991
296,Атлон,Athlone,-7.9425897,53.4228434
202,Salford,Salford,-2.3856990150907764,53.47903635
513,Манчестер,Manchester,-2.2451148,53.4794892
375,Гамбург,Hamburg,10.000654,53.550341
93,Hamburg,Hamburg,10.000654,53.550341
396,Гримсби,Grimsby,-0.0788045,53.5671407
144,Molodezhnyy,Molodezhnyy,39.495279,53.6582721
456,корпус,Hull,-0.3394758,53.7435722
186,Preston,Preston,-2.6992717,53.7593363
552,Ольштын,Olsztyn,20.477780523409734,53.7767239
28,Bradford,Bradford,-1.7519186,53.7944229
483,Лидс,Leeds,-1.5437941,53.7974185
470,Ланкашир,Lancashire,-2.5650887919475496,53.8611703
502,Любек,Lubeck,10.684738,53.866444
364,Висмар,Wismar,11.4647932,53.8909832
425,Йорк,York,-1.0815361,53.9590555
633,Слайго,Sligo,-8.4751357,54.2720696
253,Ulyanovsk,Ulyanovsk,48.3642771,54.3107593
445,Кил,Kiel,10.135555,54.3227085
377,Гданьский,Gdańsk,18.62860883362069,54.36119285
635,Сопот,Sopot,18.54309444570447,54.44190905
520,Мидлсбро,Middlesbrough,-1.2344047,54.5760419
314,Белфаст,Belfast,-5.9301829,54.596391
195,Ryazan,Ryazan,39.68844236231995,54.6702523
357,Вильнюс,Vilnius,25.2829111,54.6870458
358,Вильнюсский уезд,Vilnius,25.2829111,54.6870458
432,Калининград,Kaliningrad,20.5105838,54.710128
669,Уфа,Ufa,55.947499,54.7261409
42,Carlisle,Carlisle,-2.9362311,54.8948478
389,Город Карлайл,Carlisle,-2.9362311,54.8948478
440,Каунас,Kaunas,23.9044817,54.8982139
627,Сённерборга,Sønderborg,9.7897999,54.9089186
400,ДОНЕГОЛ,Donegal,-7.952385214651309,54.92075415
542,Ньюкасл-апон-Тайн,Newcastle upon Tyne,-1.6131572,54.9738474
162,Omsk,Omsk,73.371529,54.991375
539,Новосибирск,Novosibirsk,82.9234509,55.0282171
546,Оденсе,Odense,10.3852104,55.3997225
111,Kemerovo,Kemerovo,86.06040533437402,55.4007394
709,Эсбьерг,Esbjerg,8.4520751,55.4664892
453,Кольдинг,Kolding,9.47905,55.4894999
511,Мальмё,Malmo,13.0001566,55.6052931
547,Одинцово,Odintsovo,37.2727963,55.6711507
455,Копенгаген,Copenhagen,12.5700724,55.6867243
500,Лунд,Lund,13.1929449,55.7029296
528,Москва,Moscow,37.6174943,55.7504461
489,Лингби,Lyngby ,12.5051413,55.7718649
429,Казань,Kazan,49.1242266,55.7823547
386,Глазго,Glasgow,-4.2488787,55.8609825
150,Mytishchi,Mytishchi,37.7339358,55.9094928
117,Korolyov,Korolyov,37.8326289,55.9204898
700,Шяуляй,Siauliai,23.3157775,55.9340823
701,Эдинбург,Edinburgh,-3.1883749,55.9533456
46,Cherkizovo,Cherkizovo,37.7804331,55.9693329
275,Zelenograd,Zelenograd,37.198534,55.9964233
685,Хельсингборг,Helsingborg,12.7040684,56.0441984
229,Stirling,Stirling,-3.9360012,56.1181242
554,Орхусская,Aarhus,10.2134046,56.1496278
537,Нижний Новгород,Nizhny Novgorod,44.0051395,56.3264816
628,Сент-Эндрюс,St Andrews,-2.7955844,56.3403902
66,Dundee,Dundee,-2.97019,56.4605938
484,Лиепайский,Liepaja,21.0070903,56.5048435
598,Резекненский,Rēzekne,27.3306623,56.506281
273,Yoshkar-Ola,Yoshkar-Ola,47.8972462,56.6328248
421,Иркутск,Irkutsk,104.719221,56.6370122
406,Елгава,Jelgava,23.7339143,56.6514394
405,Екатеринбург,Ekaterinburg,60.66895779116639,56.7881462
105,Izhevsk,Izhevsk,53.197730742455306,56.86051745
258,Växjö,Vaxjo,14.8094385,56.8787183
602,Рига,Riga,24.1051846,56.9493977
104,Ivanovo,Ivanovo,40.96306331898382,57.0088004
356,Вентспилс,Ventspils,21.5635991,57.3903918
381,Гетеборг,Gothenburg,11.9670171,57.7072326
26,Borås,Boras,12.9407407,57.7210839
118,Kostroma,Kostroma,40.9269141,57.7679158
424,Йончёпинг,Jönköping,14.165719,57.7825634
187,Pskov,Pskov,28.3343465,57.8173923
155,Nizhny Tagil,Nizhny Tagil,59.9508466,57.905149
464,Кристиансанд,Kristiansand,7.93185802875815,58.085627599999995
249,Trollhättan,Trollhattan,12.2908612,58.2827931
655,Томск,Tomsk,81.52937237232149,58.324653850000004
264,Viljandi,Viljandi,25.5876563,58.3646073
237,Tartu,Tartu,26.72245,58.3801207
132,Linköping,Linkoping,15.6245252,58.4098135
156,Norrköping,Norrkoping,16.1903511,58.5909124
115,Kirov,Kirov,49.6666241,58.6035661
572,перманент,Perm,56.43899467562514,58.88439115
92,Halden,Halden,11.537191002239753,59.0680555
77,Flemingsberg,Flemingsberg,17.9398948,59.2223899
708,Эребру,Orebro,15.2151181,59.2747287
641,Стокгольм,Stockholm,18.0710935,59.3251172
157,Norrmalm,Norrmalm,18.0629048,59.3340818
409,Ескилстуна,Eskilstuna,16.5051474,59.3717379
151,Narva,Narva,28.1921457,59.3766729
648,Таллин,Tallinn,24.7453688,59.4372155
82,Gatchina,Gatchina,30.1305083,59.5706273
257,Västerås,Vasteras,16.5463679,59.6110992
190,Rauland,Rauland,8.0630086,59.6947381
401,Драммен,Drammen,10.175641950012762,59.6964936
667,Упсала,Uppsala,17.6387436,59.8586126
556,Осло,Oslo,10.7389701,59.9133301
3,75,Oslo,10.7389701,59.9133301
90,Grünerløkka,Oslo,10.7389701,59.9133301
226,St. Hanshaugen,St. Hanshaugen,10.738958251649304,59.9279499
138,Majorstuen,Majorstuen,10.7155691,59.9292711
618,Санкт-Петербург,Saint Petersburg,30.316229,59.938732
686,Хельсинки,Helsinki,24.9427473,60.1674881
70,Espoo,Espoo,24.6568435,60.2047672
22,Bergenhus,Bergenhus,5.29439308725682,60.407048950000004
663,Турку,Turku,22.2670522,60.4517531
27,Borlänge,Borlange,15.4234561,60.4856426
459,Коувола,Kouvola,26.7018042,60.8701996
87,Gjøvik,Gjovik,10.503886379493999,60.87216165
124,Lahti,Lahti,25.6613764,60.9826014
113,Khanty-Mansiysk,Khanty-Mansiysk,69.0190006,61.0034448
471,Лаппеенранта,Lappeenranta,28.1862742,61.0583713
231,Surgut,Surgut,73.3964,61.254032
649,Тампере,Tampere,23.7603118,61.4980214
233,Syktyvkar,Syktyvkar,50.8352024,61.6685237
576,Петрозаводск,Petrozavodsk,34.390007,61.790039
711,Якутск,Yakutsk,129.7319787,62.0274078
646,Сундсваль,Sundsvall,17.3071024,62.3907552
426,Йоэнсуу,Joensuu,29.7584591,62.6006257
549,Олесунн,Ålesund,6.168828066313526,62.76712545
626,Сейняйоки,Seinäjoki,22.8442015,62.7954104
466,Куопио,Kuopio,27.6781839,62.8924601
339,Вааса,Vaasa,21.6159187,63.0957722
557,Остерсунд,Ostersund,14.6357061,63.1793655
658,Трондхейм,Trondheim,10.3951929,63.4305658
251,Ukhta,Ukhta,53.684243,63.5624585
666,Умео,Umeå,20.2630745,63.8256568
441,Каяни,Kajaani,27.7334227,64.2240872
295,Архангельск,Arkhangelsk,40.537121,64.543022
559,Оулу,Oulu,25.4716809,65.0118734
499,Лулео,Lulea,22.1459535,65.5831187
103,Ísafjörður,Isafjordur,-23.1193541,66.0726918
336,Будё,Bodø,14.3817466,67.2844323
447,Кируна,Kiruna,20.2255482,67.8550724
532,Нарвик,Narvik,17.086538711321808,68.28988385
657,Тромсё,Tromso,18.9543434,69.649208
7,Alhaurín el Grande,Alhaurin the Great,-4.68728,36.643
169,Panepistimioupoli Patron,Panepistimioupoli Patron,21.7859318593,38.2843178029
197,Saint Pölten,Saint Pelten,15.63333,48.2
437,Карлскруны,Karlskruni,15.58661,56.16156
